time,control_bump_0,control_bump_1,control_drive_0,control_drive_1,control_vision_0,control_vision_1,drive,decoder_driveout,decoder_bumpout,decoder_bumpout-filtered,decoder_vision,decoder_positionout
0.651,0.000,0.000,1.000,0.167,0.000,0.000,0.000;0.000,1.493;-0.461,0.003;0.002,0.104;0.169,-0.131;0.085,0.469;0.356
0.660,0.000,0.000,1.000,0.065,0.000,0.000,0.000;0.000,1.183;-0.636,0.001;0.001,-0.564;0.106,-0.082;-0.067,0.728;0.052
0.670,0.000,0.000,1.000,0.023,0.000,0.000,0.000;0.000,0.774;-0.240,0.000;0.000,-0.038;0.185,0.168;-0.138,0.486;-0.173
0.680,0.000,0.000,1.000,0.008,0.000,0.000,0.000;0.000,1.082;0.671,0.000;0.000,-0.340;0.504,0.015;-0.095,0.575;-0.170
0.691,0.000,0.000,1.000,0.002,0.000,0.000,0.000;0.000,0.839;0.556,0.000;0.000,-0.153;0.077,0.106;0.031,0.249;-0.407
0.701,0.000,0.000,1.000,0.001,0.000,0.000,0.000;0.000,1.142;0.695,0.072;-0.044,-0.087;0.064,-0.535;-0.395,0.434;0.246
0.711,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.653;1.055,-0.639;-0.005,-0.507;-0.259,-0.402;-0.603,0.698;0.432
0.720,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.651;1.002,-0.248;-0.002,-0.639;-0.116,-0.572;-1.004,0.845;0.115
0.730,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.727;0.503,-0.086;-0.001,-0.347;-0.057,-0.454;-1.009,0.624;-0.228
0.740,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.977;0.755,-0.030;-0.000,-0.178;-0.141,-0.077;-0.415,0.472;-0.030
0.750,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.902;1.215,-0.010;-0.000,-0.018;-1.135,-0.283;-1.368,0.498;-0.040
0.761,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.990;1.030,-0.538;0.152,0.442;-0.725,-0.160;-1.082,0.797;0.280
0.771,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.849;0.727,-0.447;0.212,-0.334;0.427,-0.442;-0.548,0.771;0.472
0.781,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.675;0.647,-0.045;-0.213,-0.266;0.652,-0.541;-0.361,0.828;-0.344
0.790,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.436;0.436,-1.173;-0.642,0.030;0.363,-0.336;-0.009,0.436;0.143
0.800,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.190;0.335,-1.218;-0.591,-0.097;-0.250,-0.003;0.686,0.223;0.014
0.810,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.346;0.529,-0.664;0.370,-0.123;0.230,0.009;0.685,0.562;0.001
0.821,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.208;1.032,-0.538;0.754,-0.058;0.002,-0.226;0.534,1.306;0.222
0.831,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.828;1.278,-0.501;0.868,-0.079;-0.123,-0.232;1.059,1.111;0.270
0.841,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.698;1.279,-0.487;0.908,0.066;0.071,0.128;1.133,1.229;-0.062
0.850,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.560;1.216,-0.483;0.921,0.292;-0.119,0.079;0.545,0.831;-0.084
0.860,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.416;1.122,-0.317;0.394,0.291;-0.043,-0.099;-0.040,1.033;0.196
0.870,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.606;1.219,0.136;0.034,0.060;-0.060,0.311;0.172,0.743;0.197
0.881,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.440;0.912,-0.684;1.080,-0.002;0.020,-0.265;0.016,0.308;0.154
0.891,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.227;0.758,-0.928;1.392,0.315;-0.023,0.037;0.343,0.491;-0.029
0.901,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.305;0.542,-0.517;0.770,0.221;-0.155,0.117;0.031,0.641;0.023
